verbVocalized,Masdar,Verb-original,,m²,equal,,lenght,,,
أَسَّسَ,تَأْسِيسٌ,أَسَّسَ,,تَأْسِيسٌ ,TRUE,,7, (مص. أسس),تَأْسِيسٌ-تَأْسِيسٌ ,تَأْسِيسٌ-تَأْسِيسٌ 
تَبَلْبَلَ,تَبَلْبُلٌ,تَبَلْبَلَ,,تَبَلْبُلٌ ,TRUE,,10, (مص. تبلبل),تَبَلْبُلٌ-تَبَلْبُلٌ ,تَبَلْبُلٌ-تَبَلْبُلٌ 
تَبَوَّأَ,تَبَوُّؤٌ,تَبَوَّأَ,,تَبَوُّؤٌ ,TRUE,,9, (مص. تَبَوَّأَ),تَبَوُّؤٌ-تَبَوُّؤٌ ,تَبَوُّؤٌ-تَبَوُّؤٌ 
عَلِمَ,عِلْمٌ,عَلِمَ,,عِلْمٌ,TRUE,,6, (مص. عَلِمَ),عِلْمٌ-عِلْمٌ,عِلْمٌ-عِلْمٌ
وَصَمَ,وَصْمٌ,وَصَمَ,,وَصْمٌ ,TRUE,,6,( مص. وَصَمَ),وَصْمٌ-وَصْمٌ ,وَصْمٌ-وَصْمٌ 
#الصَّحْوِ,صَحْوَةٌ,#الصَّحْوِ,,صَحْوَةٌ ,TRUE,,10,(اِسْمُ الْمَرَّةِ مِنَ الصَّحْوِ),صَحْوَةٌ-صَحْوَةٌ ,صَحْوَةٌ-صَحْوَةٌ 
خَفَقَ,غَلْطَةٌ,#الغَلَطِ,,غَلْطَةٌ ,TRUE,,9,(اِسْمُ الْمَرَّةِ مِنَ الغَلَطِ),غَلْطَةٌ-غَلْطَةٌ ,غَلْطَةٌ-غَلْطَةٌ 
خَفَقَ,خَفْقَةٌ,خَفَقَ,,خَفْقَةٌ ,TRUE,,6,(اِسْمُ الْمَرَّةِ مِنْ خَفَقَ),خَفْقَةٌ-خَفْقَةٌ ,خَفْقَةٌ-خَفْقَةٌ 
دَارَ,دَوْرَةٌ,دارَ,,دَوْرَةٌ ,TRUE,,4,(اِسْمُ الْمَرَّةِ مِنْ دارَ),دَوْرَةٌ-دَوْرَةٌ ,دَوْرَةٌ-دَوْرَةٌ 
رَاحَ,رَوْحَةٌ,راحَ,,رَوْحَةٌ ,TRUE,,4,(اِسْمُ الْمَرَّةِ مِنْ راحَ),رَوْحَةٌ-رَوْحَةٌ ,رَوْحَةٌ-رَوْحَةٌ 
رَكَلَ,رَكْلَةٌ,رَكَلَ,,رَكْلَةٌ ,TRUE,,6,(اِسْمُ الْمَرَّةِ مِنْ رَكَلَ),رَكْلَةٌ-رَكْلَةٌ ,رَكْلَةٌ-رَكْلَةٌ 
رَنَّ,رَنَّةٌ,رَنَّ,,رَنَّةٌ ,TRUE,,5,(اِسْمُ الْمَرَّةِ مِنَ رَنَّ),رَنَّةٌ-رَنَّةٌ ,رَنَّةٌ-رَنَّةٌ 
كَوَى,كَيَّةٌ,كَوَى,,كَيَّةٌ ,TRUE,,5,(اسْمُ الْمَرَّةِ مِنْ كَوَى),كَيَّةٌ-كَيَّةٌ ,كَيَّةٌ-كَيَّةٌ 
نَجَا,نَجْوَةٌ,نَجَا,,نَجْوَةٌ ,TRUE,,5,(اِسْمُ الْمَرَّةِ مِنْ نَجَا),نَجْوَةٌ-نَجْوَةٌ ,نَجْوَةٌ-نَجْوَةٌ 
نَدَا,نَدْوَةٌ,نَدَا,,نَدْوَةٌ ,TRUE,,5,(اسْمُ الْمَرَّةِ مِنْ نَدَا),نَدْوَةٌ-نَدْوَةٌ ,نَدْوَةٌ-نَدْوَةٌ 
بَتَّ,بَتَّةٌ,بَتٌّ,,بَتَّةٌ، البَتَّة,FALSE,,5,(اِسْمُ الْمَرَّةِ مِنْ: بَتٌّ),بَتَّةٌ-بَتَّةٌ، البَتَّة,بَتَّةٌ-بَتَّةٌ، البَتَّة
اِرْتَوَى,دَرَكٌ,#(اِسْمُ مَصْدَرٍ مِنَ الإدْرَاكِ,,دَرَكٌ ,TRUE,,33,(اِسْمُ مَصْدَرٍ مِنَ الإدْرَاكِ),دَرَكٌ-دَرَكٌ ,دَرَكٌ-دَرَكٌ 
اِرْتَوَى,رِيٌّ,اِرْتَوَى,,رِيٌّ ,TRUE,,9,(اِسْمٌ مِن ارْتَوَى الشَّجَرُ),رِيٌّ-رِيٌّ ,رِيٌّ-رِيٌّ 
#(اِسْمٌ مِنَ الجُرْحِ,جُرْحٌ,#(اِسْمٌ مِنَ الجُرْحِ,,جُرْحٌ ,TRUE,,22,(اِسْمٌ مِنَ الجُرْحِ),جُرْحٌ-جُرْحٌ ,جُرْحٌ-جُرْحٌ 
سَخَرَ,تَمَحُّصٌ,#(اِسْمٌ مِنَ اللِّقاءِ,,تَمَحُّصٌ,TRUE,,23,(اِسْمٌ مِنَ اللِّقاءِ),تَمَحُّصٌ-تَمَحُّصٌ,تَمَحُّصٌ-تَمَحُّصٌ
سَخَرَ,سِخْرِيٌّ,سَخَرَ,,سِخْرِيٌّ,TRUE,,6,(مص . سَخَرَ),سِخْرِيٌّ-سِخْرِيٌّ,سِخْرِيٌّ-سِخْرِيٌّ
