#جمعها مصطفى mutafa0x,,,
#https://github.com/linuxscout/fareh/issues/2,,,
,,,
 خلوق,ص:, حسن الأخلاق,traited
 مدبب,ص:, حاد الرأس,traited
 مدجج بالسلاح,ص:, مدجج في السلاح,traited
 دُرَّة عمر,ص:, دِرَّة عمر,traited
 دمغ,ص:, وسم,traited
 نفس الشيء,ص:, الشيء نفسه (إن لم يرد بالنفس الذات),traited
 رئيسيَّة,ص:, رئيسة,traited
 رابعة النهار,ص:, رائعة النهار,traited
 على الرَّحب والسعة,ص:, على الرُّحب,traited
,,,traited
 وقع في رَوْعي ,ص:, رُوْعي,traited
 زيجة,ص:, زواج,traited
 زِيف ,ص:, زَيف,traited
 سميك ,ص:, ثخين,traited
 الصَرْعة ,ص:, الصُّرَعَة,traited
 يفْرُك مؤمن مؤمنة,ص:, يَفرَك,traited
 حُمُرِ النِّعَم,ص:, حُمْرِ النَّعَم,traited
 حُمَّة ,ص:, حُمَة,traited
 لا تعجَز,ص:, تَعجِز,traited
 مِفحَص قطاة,ص:, مَفْحَص,traited
 نَعِس الصبي ,ص:, نَعَسَ,traited
 الصبي حتى يكبُر ,ص:, يَكبَر,traited
 يَعمَدُ إلى كذا,ص:, يَعمِدُ,traited
 متسول ,ص:, سائل |شحَّاذ,traited
 مشبوه,ص:, مشتبه فيه,traited
 شحِبَ لونه ,ص:, شَحَب |شَحُبَ,traited
 لا مَشاحَّة,ص:, لا مُشاحَّة,traited
 نظر شَذَرًا,ص:, شَزْرًا,traited
 أشرطة,ص:, شُرُط | شرائط,traited
,,,traited
 تشكل الفريق من..,ص:, تكون من..,traited
 كتاب مُشَكَّل,ص:, مشكول | مُشكَل,traited
 الشنب,ص:, الشارب,traited
 شافاه الله,ص:, شفاه الله,traited
 صفحة (للورقة لا أحد وجهيها) ,ص:, صحيفة,traited
 صَمَّام | سدَّاد القارورة,ص:, صِمَام | سِدَاد,traited
 طابور ,ص:, قطار,traited
 طُحال (العضو),ص:, طِحال,traited
 طُلسُم ,ص:, طَلسَم | طِلسِم,traited
 طَمَأنينة,ص:, طُمَأنينة,traited
 جَهُوري,ص:, جَهْوَري,traited
 مِنطاد,ص:, مُنطاد,traited
 طَهران,ص:, طِهران,traited
 أحمر غامق/ صوابه: داكن,,,traited
عُنيَ به فلان,ص:, عَنِيَ به,traited
 أبعد النَّجعَة,ص:, أبعد النُّجعَة,traited
 مفترق طرق,ص:, مَفرِقِ طرق,traited
 كل الصيد في جوف الفِرا,ص:, الفَرَا,traited
 مِفصَل,ص:, مَفصِل,traited
 فَطْحَل,ص:, فِطَحْل,traited
 فطاحل,ص:, فحول أو عظماء,traited
 استفهم منه عن الأمرِ,ص:, استفهمَهُ الأمرَ,traited
 تقابلت معه,ص:, قابلته,traited
 جلس قِبالته,ص:, قُبالَتَه,traited
 قَدِمَ زيدٌ إلى أرض كذا,ص:, قَدِمَ زيدٌ أرضَ كذا,traited
 ضرب به عَرْض الحائط,ص:, عُرْضَ الحائط,traited
,,,traited
 اشترى كذا بأكمله,ص:,برمته,traited
 يَلفُظُ,ص:, يَلفِظُ,traited
 اللُّقاح,ص:, اللِّقاح,traited
 لواه لويًا,ص:, لَيًَّا,traited
 لا أدري (ما إذا |عمَّا إذا |إن) كنتَ راضيا أم لا,ص:, لا أدري أأنت راضٍ أم لا (فلا يرد ما سبق بعد أفعال القلوب),traited
 مُدّ البصر,ص:, مَدّ (ومَدى أفصح) البصر,traited
 مزح معه,ص:, مازحه,traited
 انمسح,ص:, امَّحى,traited
 تمعَّن في النظر,ص:, أمعن في النظر,traited
 مها (للواحدة),ص:, مهاة,traited
 ميِّزة,ص:, مِيزة | مَيْزَة,traited
 ميوعة,ص:, مَيْع,traited
 يُنبوع الغِواية الفكرية,ص:, يَنبوع الغَواية الفكرية,traited
,,,traited
 نُدْبة/ صوابه: نَدَبَة,,,traited
 الإمام النِّسائي,ص:, النَّسائي,traited
 تنافسوا على الأمر,ص:, تنافسوا في الأمر,traited
 انتقص من حقه,ص:, انتقص حقَّه,traited
 نمَّلَت يده,ص:, نَمِلَت يده,traited
 رأيت منامًا,ص:, رأيت حُلُْمًا |رؤيا,traited
 نوَّه بكذا,ص:, أشار إلى كذا,traited
 نوايا,ص:, نيات,traited
 هَرَع إليه,ص:, هُرِعَ |أُهْرِعَ |أَهْرَع إليه,traited
 أهرامات,ص:, أهرام,traited
 هَضَبة,ص:, هَضْبَة,traited
 تهكم على فلان,ص:, تهكم بفلان,traited
 اهتَمَّ للأمر,ص:, اهتَمَّ بالأمر,traited
 مَهَمَّة عسكرية,ص:, مُهِمَّة عسكرية,traited
 هِنَة |هِنَات,ص:, هَنَة |هَنَات,traited
 رِعاع,ص:, رَُعاع,traited
 جَلَسَ لوحدِه,ص:, جَلَس وَحدَه,traited
 يورَمُ الجلد,ص:, يَرِمُ الجلد,traited
 وُلُوع زيد بالشعر عظيمٌ,ص:, وَلُوع,traited
,,,traited
 كافة الرجال,ص:, الرجال كافة,traited
 مسبق,ص:, سابق,traited
 ملغية,ص:,ملغاة,traited
